village_name,created_time,households,road_conditions,total_population,gps_latitude,gps_longitude,_population_without_enough_rice,children_aged_0_-_18,distance_to_town_km,adult_males,adult_females,distance_to_hospital_km,nearest_health_centre,distance_to_pratom_km,annual_typhoid_cases,distance_to_health_centre_km,distance_to_mathayom_km,common_diseases,hosted_kht_projects,record_id
Huay Ka Pa,2022-07-25 11:19:26,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,School Buses,zcrm_361303000001899126
Hui Sai Leang. Mae Jam Dist,2022-07-25 11:19:26,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,Further Education Scholarships,zcrm_361303000001899127
Khun Mae La,2022-07-25 11:19:26,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,Further Education Scholarships,zcrm_361303000001899128
Ko Mai Loo,2022-07-25 11:19:26,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,Further Education Scholarships,zcrm_361303000001899131
Mae La Ka,2022-07-25 11:19:26,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,Further Education Scholarships,zcrm_361303000001899132
Mae La Noi Duransik,2022-07-25 11:19:26,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,School Meals,zcrm_361303000001899133
Mae Om Pai,2022-07-25 11:19:26,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,Further Education Scholarships,zcrm_361303000001899134
Mae Tho Thai,2022-07-25 11:19:26,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,Further Education Scholarships,zcrm_361303000001899136
Missing Village Details,2022-07-25 11:19:26,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,Further Education Scholarships;WASH,zcrm_361303000001899138
Paw Naw Khi,2022-07-25 11:19:26,76,,379,18.95964,98.08249,40,153,45,115,111,45,In village,-1,8,-1,-1,,Further Education Scholarships;WASH,zcrm_361303000001899140
Mon Ta Lang,2022-07-26 05:01:45,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,Further Education Scholarships,zcrm_361303000001905020
Mae Salit Luang,2022-07-26 05:03:14,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,Further Education Scholarships,zcrm_361303000001905042
Ban Huay Bong Tha,2022-08-04 04:57:10,29,,122,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,,zcrm_361303000002044003
Ban Thung Ruang Thong,2022-08-04 05:06:32,320,,710,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,,zcrm_361303000002044029
Ban Huay Pom Fard,2022-08-04 05:09:42,25,,132,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,,zcrm_361303000002044055
Ban Sob Mae Ruam,2022-08-04 05:15:09,50,,485,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,,zcrm_361303000002044081
Ban Ruam Mo,2022-08-04 05:17:28,61,,207,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,,zcrm_361303000002044107
Ban Eeh Vee Jo,2022-08-04 05:26:01,78,,367,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,,zcrm_361303000002044150
Ban Mae Phae Noi,2022-08-04 05:29:37,25,,110,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,,zcrm_361303000002044176
Ban Mae Lui Bon,2022-08-04 05:32:03,43,,165,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,,zcrm_361303000002044202
Ban Hua Mae La Ka,2022-08-04 05:36:53,36,Very Poor (not paved. inaccesible in wet season),175,18.74628,98.07401,60,68,33,56,51,33,Ban Pong Ung,-1,5,8,8,Flu and Ulcer,WASH,zcrm_361303000002044244
Ban Huay Khi Pher,2022-08-04 05:40:56,35,,166,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,,zcrm_361303000002044270
Wangkhan,2022-08-26 02:14:33,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,Further Education Scholarships,zcrm_361303000002194023
Ban Kong Sum Nua,2022-09-13 10:46:35,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,WASH,zcrm_361303000002242022
Ban Kong Sum Tai,2022-09-13 10:47:36,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,,zcrm_361303000002242074
Ban Mae Nil Nok,2022-09-14 03:13:22,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,,zcrm_361303000002250064
Ban Mae Nil Nok,2022-09-14 03:13:24,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,,zcrm_361303000002250074
Ban Mae Ja,2022-09-27 10:00:15,81,Good (paved roads. few potholes),365,18.990789,97.97441,40,-1,35,128,135,-1,,0,-1,-1,25,,Irrigation,zcrm_361303000002296049
Ban Mae Laep,2022-09-28 02:59:26,280,Good (paved roads. few potholes),1135,18.413644,97.863467,50,-1,-1,435,365,-1,,-1,-1,-1,-1,,Irrigation,zcrm_361303000002304022
Ban Mae La Ngew,2022-11-18 11:08:57,70,Average (some paved road. some potholes),237,18.41844,97.856597,-1,-1,20,95,85,20,Ban Mae Leap,0,10,6,20,,Irrigation;WASH,zcrm_361303000002447085
Ban Huay Mai Dam,2023-01-19 06:24:20,44,Average (some paved road. some potholes),183,19.216291,98.14891,20,-1,45,86,72,41,Ban Huay Poo Ling,7,4,7,7,Flu,Irrigation;WASH,zcrm_361303000002660046
Ban Thuan,2023-02-20 14:38:16,92,Very Good (paved roads),282,18.51941,97.28241,60,-1,14,148,134,14,Ban Song Thasn,13,-1,32,14,Malaria. Typhoid. Cholera. Parasites,WASH,zcrm_361303000002764085
Ban Eh Vee Jo,2023-05-02 16:00:57,78,Average (some paved road. some potholes),367,17.62537,98.07884,-1,200,94,141,126,66,Khri Khee,0,4,9,5,Malaria. Typoid. Diarrhea,,zcrm_361303000002929061
Ban Pha Khae,2023-05-30 09:27:01,28,Average (some paved road. some potholes),107,18.69036,97.80586,50,22,40,46,39,40,Ban Mae Ki,5,-1,8,40,Malaria. Typhoid and Dengue Fever,,zcrm_361303000003002061
